ward_no,ward_name,lat,lon,pop_2011
1,Santhi Nagar,9.9561,78.1121,27487
2,Koodal Nagar,9.9624,78.1032,31115
3,Anaiyur,9.9711,78.1065,20979
4,Sambandhar Alankulam,9.9635,78.1151,11802
5,BB Kulam,9.9591,78.1183,19104
6,Meenambalpuram,9.9542,78.1202,13592
7,Kailaasapuram,9.9494,78.1221,5293
8,Vilangudi,9.9641,78.0893,13344
9,Thathaneri,9.9553,78.1345,14757
10,Aarappalayam,9.9335,78.1102,7198
11,Ponnaharam,9.9375,78.1081,11735
12,Krishnapalayam,9.9294,78.1167,17510
13,Azhagaradi,9.9251,78.1201,9342
14,Viswasapuri,9.9282,78.1234,14552
15,Melapponnaharam,9.9323,78.1182,11908
16,Railway Colony,9.9152,78.1195,11745
17,Ellis Nagar,9.9182,78.1214,12045
18,SS Colony,9.9101,78.1267,16173
19,Ponmeni,9.9003,78.1221,23551
20,Arasaradi,9.9075,78.1108,11044
21,Ward21,9.9112,78.1054,11947
22,Ward22,9.9156,78.1012,13897
23,Ward23,9.9184,78.0981,8120
24,Ward24,9.9201,78.0953,9327
25,Ward25,9.9256,78.0923,11468